handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
TechnologicDesk,Emmanuel Joliet,1914,3281,1,1,700,455,12,218
LoriNelsonKing,Lori Nelson-King,2256,1483,1,1,1578,36,69,1615
vrushalivc,Vrushali C,1546,1567,1,1,541,377,7,367
0xD1,Israel Zúñiga,2437,15013,1,1,1987,208,60,1435
iwrigley,Ian Wrigley,1892,1592,1,1,504,28,18,466
mahadevkonar,mahadev konar,1291,1109,0,1,171,1,43,845
sDataManagement,SearchDataManagement,1766,2174,1,1,449,2,127,1817
okachimachiorz1,脂肪分解酵素を活性化させる御徒町,1391,8574,1,1,2865,8,295,3663
pieteradejong,Pieter de Jong,2488,325,1,1,434,841,7,368
Tshooter,Vinod Vavilapalli,2580,3433,1,1,480,267,38,991
gridgain,GridGain Systems,1366,4721,0,1,436,532,89,1178
narwhalconsult,Narwhal Consulting,1867,43,1,1,2395,0,39,1415
Syncsort,Syncsort,1532,3853,1,1,1513,255,83,1341
sfchaos,sfchaos,1419,2287,0,1,339,444,87,766
josephmisiti,joseph misiti,1760,4002,1,1,246,13866,74,1422
okachimachiorz,御徒町 @リフトの下りにはリフト券が必要,1664,29959,0,1,1970,44,202,1930
mhgoodell,Marie Goodell,1415,671,0,1,822,3,61,775
elliottnclark,Elliott Clark,1800,142,1,1,182,4,9,198
jhclark_lti,Jonathan Clark,1877,814,0,1,163,260,10,306
adambloom,adam bloom,1923,731,1,1,2001,103,18,628
actsasflinn,actsasflinn,2084,2078,1,1,252,96,20,163
aminbandeali,Amin Bandeali,2043,3860,1,1,44,1,33,1046
FastBigData,Mark Wall,1933,1276,1,1,653,511,42,2113
tgibbs,Tanton Gibbs,2586,1487,1,1,526,18,23,427
suresh_m_s,Suresh Srinivas,2162,721,0,1,136,17,19,445
soafaq,OpenMediation,1573,20434,1,1,97,162,91,807
carbone,Cedric Carbone ,2223,1385,0,1,1932,47,77,1585
mwinkle,Matt Winkler,2579,3755,1,1,459,107,53,887
JADOo5567,Hadoop ,617,0,0,1,12,0,0,9
Anil15hadoop,Anil,188,3,0,1,35,0,0,5
icme_hadoop1,icme-hadoop1,617,0,0,1,0,0,0,8
hadooplog,Hadoop Commit Log,1036,10,0,1,0,0,0,12
pflaumeneintopf,Rene Hadoop Geek,1428,1,0,1,2,0,0,10
JoinHadoopTeam,Join Our Hadoop Team,69,3,0,1,10,0,0,2
Hadoopplus,Hadoop +,275,2,0,1,5,0,0,3
brandynwhite,Brandyn White,2094,799,1,1,186,74,30,512
SocialTrep,Mike Hurley,1027,4157,1,1,2241,632,27,1668
jaymce,Jim Walker,2447,1381,1,1,437,3,42,718
Altiscale,Altiscale,346,319,1,1,513,50,7,269
PhillyHUG,Philly Hadoop,1704,0,0,0,1,0,4,27
hailter,Hakan İlter,775,4157,1,1,383,207,13,465
davidmcj,David McJannet,1708,290,0,1,32,9,3,111
Karmasphere,Karmasphere,1646,45,1,1,5,1,92,955
kkrugler,Ken Krugler,1778,125,1,1,35,0,61,522
MikeHSays,Mike Hoskins,1156,798,0,1,1268,0,82,1527
sumitkm,Sumit Maitra,1854,14914,1,1,1269,1500,63,1034
Xorlev,Michael Rose,1954,2977,1,1,495,171,23,622
