handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
AnalyticsInfra,Analytics Infra ,323,30,0,1,41,7,5,221
DarthAnalytics,AJ,249,3289,1,1,842,8,9,487
BluenoseInc,Bluenose Analytics,510,154,1,1,64,56,13,171
DecisiveToday,DECISIVE ANALYTICS,1792,592,1,1,230,2,7,253
LovesData,Loves Data,1851,2973,1,1,101,38,187,2338
YASmetrics,Your Analytics Site,1804,125,1,1,767,3,62,337
AnalyticalRasta,HERBAL CONNOISSEUR,975,41518,1,1,471,40,2,466
mrxanalytics,Research & Analytics,327,1038,1,1,691,75,15,428
GASAnalytical,GAS Analytical,462,722,1,1,1981,34,4,945
q_googleanalyti,Google Analytics,1283,404,0,1,0,0,13,115
analyticsjoomla,Analytics for Joomla,1195,1169,1,1,8670,8,158,8736
DatatechRecruit,Datatech Analytics,1128,910,1,1,1971,1,18,685
AnalyticInc,Analytic Recruiting,1799,211,1,1,0,6,3,161
Analytics2011,Analytics 2011,1172,39,1,1,0,1,14,100
Analytics_HR,HR Analytics,612,1057,1,1,593,56,22,470
autoanalytic,Auto Analytic,1274,356,1,1,594,0,1,3112
wadude,Web Analytics Dude,1898,393,1,1,99,12,14,212
WFU_SA,WFU Sports Analytics,147,106,1,1,152,11,1,68
ProAnalytics,GoStats.com,1372,33,1,1,1033,0,62,651
DonBestTrading,Analytics Trading,93,520,1,1,380,149,10,3595
monitus,Michael Whitaker,2213,330,0,1,258,0,131,1357
AlereAnalytics,Alere Analytics,1185,478,1,1,551,29,13,256
UrbiAnalytics,UrbiAnalytics,638,168,0,1,420,0,7,169
SoccerAnalytic1,Soccer Analytics,563,171,1,1,1292,0,13,719
CharlieAnalytic,Charlie Clark,720,708,0,1,841,4,28,518
webseoanalytic,Web SEO Analytics,983,115,0,1,917,0,14,804
GRBAnalytical,GRB Analytical,401,93,0,1,790,0,10,874
LocAnalytics,Location Analytics,841,114,1,1,260,0,10,255
SniperAnalytics,Stephen Maloney,1201,737,0,1,1744,195,11,642
AnalyticsHire,Analytics Hire,456,1273,1,1,1330,0,9,539
logaholic,Web Analytics Team,1777,65,1,1,1137,0,26,429
TextAnalytics10,Text Analytics News ,1886,45,1,1,69,0,33,307
SocratesCLE,Socrates Analytics,463,138,1,1,516,3,14,564
cardiolog,CardioLog Analytics,1659,579,1,1,820,19,23,400
AnalyticsGuy,avirami,2193,32,0,1,188,6,10,187
JaguarAnalytics,JaguarAnalytics,487,2109,1,1,101,5,106,2904
widgetgirl,Jodi McDermott,2466,772,1,1,185,0,141,1434
AnalyticsOnKing,Karthik Sethuraman,841,57,0,1,16,25,5,66
heavyanalytics,Heavy Analytics,1334,26,0,1,275,0,28,224
IBManalyticsBNL,IBM Analytics BNL,1421,541,0,1,315,45,27,492
webanalytics_in,Web Analytics Agency,1447,25,1,1,1796,0,31,524
WebAnalyticsGuy,Ryan Dinelle,1869,313,1,1,49,0,19,415
APAnalytics1,Analytics Partners,463,1073,1,1,1960,112,8,386
SticsAnalytics,Stics Analytics,1067,262,1,1,704,8,12,280
analyticsseo,Analytics SEO,1751,3254,1,1,1550,50,131,2413
analyticstools,Web Analytics Tools,1559,1439,0,1,133,4,32,357
nBrandAnalytics,newBrandAnalytics,1193,3902,1,1,1967,87,51,1687
UK_Analytics,Stuart Garland,1218,87,1,1,905,0,1,256
Marketingland,Marketing Land,2305,24209,1,1,816,9,2922,80001
webanalyticsbr,Web Analytics Br,2225,37,1,1,0,0,72,1036
salesAnalytics,Salesforce Analytics,1746,72,0,1,669,0,21,411
PyramidAnalytic,Pyramid Analytics,595,466,1,1,437,460,11,228
Analytics2012,Analytics2012,883,80,1,1,3,0,8,133
Smartme_info,Smartme Analytics,399,86,1,1,762,5,4,260
SplytAnalytics,Splyt Analytics,344,142,1,1,620,57,19,350
q_webanalytics,Web Analytics,1284,415,0,1,0,0,6,43
BecksAnalytics,Becker Chivinge,1742,541,1,1,677,47,15,326
Big_Analytics,Big Analytics,792,508,1,1,104,12,30,270
WalterAnalytics,Walter Analytics,637,2648,1,1,709,0,7,4220
Analytics_TL,Technology Leaders,972,1289,1,1,205,5,19,355
webmetricsguru,Marshall Sponder,2680,13293,1,1,10069,80,946,10445
AnalyticsInnova,AnalyticsInnovations,1775,5411,1,1,240,2,18,306
AureusAnalytics,Aureus Analytics,328,789,1,1,155,74,17,288
analytics4cg,CGAnalytics,1201,169,1,1,939,13,15,383
